lat,lng,started_at,arrived_at,delivered_at
43.890242,-79.214522,2024-07-04 04:52:17,2024-07-04 23:10:57,2024-07-04 23:11:24
43.646907,-79.370927,2024-07-04 04:52:18,2024-07-04 22:02:59,2024-07-04 22:03:29
43.637184,-79.401877,2024-07-04 15:41:16,2024-07-04 23:12:19,2024-07-04 23:13:10
43.705102,-79.409654,2024-07-04 15:41:24,2024-07-04 23:51:13,2024-07-04 23:51:50
43.704194,-79.428573,2024-07-04 15:41:14,2024-07-04 20:26:22,2024-07-04 20:30:16
43.6677607,-79.3882716,2024-07-04 15:41:18,2024-07-04 20:49:40,2024-07-04 20:50:33
43.236801,-79.824042,2024-07-04 10:11:48,2024-07-05 18:52:40,2024-07-05 18:52:58
43.665607,-79.454095,2024-07-04 15:41:27,2024-07-04 21:48:18,2024-07-04 21:50:32
43.674868,-79.461140,2024-07-04 15:41:35,2024-07-04 22:08:05,2024-07-04 22:08:34
43.661102,-79.381928,2024-07-04 15:41:31,2024-07-04 23:10:33,2024-07-04 23:11:37
43.668280,-79.429790,2024-07-04 15:41:21,2024-07-04 20:19:13,2024-07-04 20:19:59
45.446458,-75.475599,2024-07-04 11:07:55,2024-07-05 13:28:27,2024-07-05 13:30:13
43.894587,-78.882330,2024-07-04 11:07:56,2024-07-05 15:46:46,2024-07-05 15:47:31
43.672358,-79.829769,2024-07-04 11:07:57,2024-07-05 16:21:44,2024-07-05 16:24:41
43.948021,-78.309419,2024-07-04 11:07:58,2024-07-05 17:24:32,2024-07-05 17:31:04
45.345806,-75.943404,2024-07-04 11:07:59,2024-07-05 19:50:32,2024-07-05 19:51:10
43.671199,-79.490182,2024-07-04 11:08:00,2024-07-05 16:43:00,2024-07-05 16:45:03
43.900444,-79.013896,2024-07-04 11:08:01,2024-07-05 15:12:48,2024-07-05 15:13:27
44.473941,-75.905280,2024-07-04 11:08:02,2024-07-05 15:45:22,2024-07-05 15:46:11
43.837324,-79.484636,2024-07-04 11:08:03,2024-07-05 15:10:46,2024-07-05 15:11:31
43.190597,-79.789145,2024-07-04 11:08:04,2024-07-05 16:37:31,2024-07-05 16:38:00
43.857275,-79.533190,2024-07-04 11:08:05,2024-07-05 14:46:34,2024-07-05 14:48:21
44.0267546,-79.8444931,2024-07-04 11:08:07,2024-07-05 18:35:12,2024-07-05 18:36:35
43.558434,-80.244312,2024-07-04 11:08:10,2024-07-05 16:01:03,2024-07-05 16:02:20
43.163113,-79.472700,2024-07-04 11:08:11,2024-07-05 14:46:54,2024-07-05 15:01:04
43.7007418,-79.4257598,2024-07-04 11:08:14,2024-07-05 17:44:54,2024-07-05 17:45:57
44.005120,-79.461981,2024-07-04 11:08:15,2024-07-05 19:37:30,2024-07-05 19:38:08
43.743495,-79.592409,2024-07-04 11:08:16,2024-07-05 15:03:58,2024-07-05 15:05:47
44.355737,-79.550316,2024-07-04 11:08:17,2024-07-05 16:29:43,2024-07-05 16:34:48
43.68396,-79.315991,2024-07-05 13:20:43,2024-07-05 16:26:28,2024-07-05 16:27:10
43.670726,-79.346336,2024-07-04 11:08:18,2024-07-05 17:09:17,2024-07-05 17:10:32
42.772542,-81.20472,2024-07-04 11:08:20,2024-07-05 17:18:40,2024-07-05 17:20:35
42.968483,-81.237602,2024-07-04 11:08:21,2024-07-05 20:13:30,2024-07-05 20:14:18
44.6235874,-75.6706268,2024-07-04 11:08:23,2024-07-05 15:02:51,2024-07-05 15:04:34
43.555403,-79.586357,2024-07-04 11:08:24,2024-07-05 15:00:46,2024-07-05 15:01:34
43.505273,-79.845523,2024-07-04 11:08:25,2024-07-05 15:50:25,2024-07-05 15:51:18
44.0277223,-79.7939068,2024-07-04 11:08:26,2024-07-05 18:24:38,2024-07-05 18:25:36
44.490567,-80.222359,2024-07-04 11:08:27,2024-07-06 00:42:19,2024-07-06 00:45:07
43.143782,-80.750677,2024-07-04 11:08:28,2024-07-05 16:03:43,2024-07-05 16:04:18
45.034481,-74.745066,2024-07-04 11:08:29,2024-07-05 17:51:13,2024-07-05 17:52:53
43.643428,-79.762781,2024-07-04 11:08:30,2024-07-05 16:06:51,2024-07-05 16:07:55
43.796598,-79.395493,2024-07-04 11:08:31,2024-07-05 15:27:52,2024-07-05 15:29:12
43.225198,-79.820893,2024-07-04 11:08:32,2024-07-05 15:20:32,2024-07-05 15:21:16
43.004578,-81.223737,2024-07-04 11:08:34,2024-07-05 20:51:16,2024-07-05 20:51:50
